Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,LDSBankConflict,L2CacheHit,SALUBusy,VALUBusy,VALUUtilization,GPUBusy
21,"gemm_kernel4(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,63,14298,14298,16777216,256,9728,0,52,32,49600,0x0,0x7f4cb53a8000,30.1043653675,38.7406494384,2.6662112423,73.0970322816,99.9988764782,100.0000000000
22,"gemm_kernel5(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,66,14298,14298,16777216,256,9728,0,64,32,51840,0x0,0x7f4cb53a8040,1.9944679756,39.0432796368,3.0031448338,86.3208441961,99.9983444222,100.0000000000
23,"gemm_kernel5(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,69,14298,14298,16777216,256,9728,0,64,32,51840,0x0,0x7f4cb53a8040,1.9890413002,36.7245949495,2.9949736863,86.0859877224,99.9983319116,100.0000000000
24,"gemm_kernel6(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,72,14298,14298,16777216,256,18944,0,44,40,53568,0x0,0x7f4cb53a8080,30.2367179198,39.2267977660,5.5669049249,72.5257776802,99.9995311091,100.0000000000
25,"gemm_kernel6(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,75,14298,14298,16777216,256,18944,0,44,40,53568,0x0,0x7f4cb53a8080,30.3381801362,38.7855775667,5.5855852101,72.7690703808,99.9996335215,100.0000000000
26,"gemm_kernel7(float*, float*, float*, int, int, int) [clone .kd]",0,0,78,14298,14298,16777216,256,18944,0,64,32,55808,0x0,0x7f4cb53a80c0,2.0579836883,36.4844529642,0.5177617653,69.7302872606,99.9999830477,100.0000000000
27,"gemm_kernel7(float*, float*, float*, int, int, int) [clone .kd]",0,0,81,14298,14298,16777216,256,18944,0,64,32,55808,0x0,0x7f4cb53a80c0,2.1067207412,38.8310883688,0.5300233701,71.3816364558,99.9999823619,100.0000000000
28,"gemm_kernel7_1(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,84,14298,14298,16777216,256,9728,0,64,56,59584,0x0,0x7f4cb53a8100,1.8843857172,38.3518209569,11.0843377141,85.1034498211,99.9990059338,100.0000000000
29,"gemm_kernel7_1(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,87,14298,14298,16777216,256,9728,0,64,56,59584,0x0,0x7f4cb53a8100,1.8832821563,37.2822115926,11.0778463461,85.0536078046,99.9990088971,100.0000000000
30,"gemm_kernel7_2(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,90,14298,14298,16777216,256,9728,0,64,56,63360,0x0,0x7f4cb53a8140,1.8862908170,38.3350794243,11.0955438960,85.1894912274,99.9990030468,100.0000000000
31,"gemm_kernel7_2(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,93,14298,14298,16777216,256,9728,0,64,56,63360,0x0,0x7f4cb53a8140,1.8844243905,38.3206007601,11.0845651985,85.1052000602,99.9990016373,100.0000000000
32,"gemm_kernel7_3(float*, float*, float*, int, int, int) [clone .kd]",0,0,96,14298,14298,16777216,256,9728,0,64,32,65600,0x0,0x7f4cb53a8180,2.3158021169,39.3152500219,0.5834735802,78.4650485434,99.9999901858,100.0000000000
